"States","t","totalPopulation","totalLaborForce","perCapitaGDP"
"Minnesota",2008,5247018,2925088,51441
"Mississippi",2008,2947806,1306772,32334
"Missouri",2008,5923916,3028857,42893
"Montana",2008,976415,509163,37562
"Nebraska",2008,1796378,989757,48159
"Nevada",2008,2653630,1363574,49481
"New Hampshire",2008,1315906,742781,46865
"New Jersey",2008,8711090,4504432,57998
"New Mexico",2008,2010662,944548,41091
"New York",2008,19212436,9664773,58322
"North Carolina",2008,9309449,4560059,45321
"North Dakota",2008,657569,371025,48062
"Ohio",2008,11515391,5965166,43646
"Oklahoma",2008,3668976,1746466,39671
"Oregon",2008,3768748,1955121,48323
"Pennsylvania",2008,12612285,6451535,45819
"Rhode Island",2008,1055003,570328,45853
"South Carolina",2008,4528996,2142232,36929
"South Dakota",2008,799124,446618,45208
"Tennessee",2008,6247411,3054785,41201
"Texas",2008,24309039,11664390,48322
"Utah",2008,2663029,1371201,43576
"Vermont",2008,624151,354899,41498
"Virginia",2008,7833496,4133443,52068
"Washington",2008,6562231,3478577,54740
"West Virginia",2008,1840310,812905,34453
"Wisconsin",2008,5640996,3091796,44742
"Wyoming",2008,546043,293279,69973
"Alabama",2009,4757938,2162999,35643
"Arizona",2009,6343154,3128110,38325
"Arkansas",2009,2896843,1358911,34554
"California",2009,36961229,18215140,51775
"Colorado",2009,4972195,2722982,50296
"Connecticut",2009,3561807,1891077,63472
"Delaware",2009,891730,437500,63219
"District of Columbia",2009,592228,335672,167060
"Florida",2009,18652644,9094825,38704
"Georgia",2009,9620846,4787749,41860
"Idaho",2009,1554439,757131,34631
"Illinois",2009,12796778,6618658,50010
"Indiana",2009,6459325,3193989,40775
"Iowa",2009,3032870,1687411,45038
"Kansas",2009,2832704,1518207,43221
"Kentucky",2009,4317074,2060162,36162
"Louisiana",2009,4491648,2064768,46644
"Maine",2009,1329590,696219,37773
"Maryland",2009,5730388,3032700,52922
"Massachusetts",2009,6517613,3470382,58725
"Michigan",2009,9901591,4903544,37004
"Minnesota",2009,5281203,2941976,49129
"Mississippi",2009,2958774,1269219,31156
"Missouri",2009,5961088,3049563,41867
"Montana",2009,983982,501014,36185
"Nebraska",2009,1812683,991583,47826
"Nevada",2009,2684665,1349299,44505
"New Hampshire",2009,1316102,744227,46106
"New Jersey",2009,8755602,4550645,55300
"New Mexico",2009,2036802,940352,40598
"New York",2009,19307066,9647485,59249
"North Carolina",2009,9449566,4570789,43273
"North Dakota",2009,664968,368665,48670
"Ohio",2009,11528896,5906768,41453
"Oklahoma",2009,3717572,1764432,38568
"Oregon",2009,3808600,1976638,47582
"Pennsylvania",2009,12666858,6400263,44823
"Rhode Island",2009,1053646,567280,45366
"South Carolina",2009,4589872,2152745,35087
"South Dakota",2009,807067,446010,45230
"Tennessee",2009,6306019,3052678,39220
"Texas",2009,24801761,11910799,47233
"Utah",2009,2723421,1365850,42052
"Vermont",2009,624817,359836,40367
"Virginia",2009,7925937,4118171,51707
"Washington",2009,6667426,3535200,52691
"West Virginia",2009,1847775,814027,34358
"Wisconsin",2009,5669264,3100348,43359
"Wyoming",2009,559851,300120,66472
"Alabama",2010,4785161,2196042,36228
"Arizona",2010,6408208,3089705,38170
"Arkansas",2010,2922394,1353338,35344
"California",2010,37334079,18336271,51733
"Colorado",2010,5048254,2724417,50194
"Connecticut",2010,3579717,1911712,63758
"Delaware",2010,899791,434419,63053
"District of Columbia",2010,605126,346065,168377
"Florida",2010,18849890,9212066,38314
"Georgia",2010,9713454,4696676,41561
"Idaho",2010,1570986,761056,34727
"Illinois",2010,12841249,6625321,50290
"Indiana",2010,6490590,3175192,43130
"Iowa",2010,3050694,1678281,45779
"Kansas",2010,2858824,1500764,44236
"Kentucky",2010,4347937,2054375,37523
"Louisiana",2010,4544951,2086076,48305
"Maine",2010,1327695,695182,38256
"Maryland",2010,5788409,3073826,53775
"Massachusetts",2010,6565036,3480083,60311
"Michigan",2010,9877369,4798954,38985
"Minnesota",2010,5310903,2938795,50447
"Mississippi",2010,2970316,1306608,31392
"Missouri",2010,5996052,3056484,42164
"Montana",2010,990643,500525,37156
"Nebraska",2010,1830025,993398,49178
"Nevada",2010,2703440,1358578,43842
"New Hampshire",2010,1316708,738257,47286
"New Jersey",2010,8803881,4555330,55469
"New Mexico",2010,2064741,936088,40316
"New York",2010,19402920,9595362,61444
"North Carolina",2010,9558979,4616691,43281
"North Dakota",2010,674530,378342,51943
"Ohio",2010,11540766,5846886,42299
"Oklahoma",2010,3759596,1768284,38658
"Oregon",2010,3837972,1984039,49686
"Pennsylvania",2010,12712014,6380949,45731
"Rhode Island",2010,1053219,566704,46324
"South Carolina",2010,4635894,2155668,35366
"South Dakota",2010,816299,441339,45443
"Tennessee",2010,6356585,3090795,39664
"Texas",2010,25244363,12241970,47746
"Utah",2010,2775426,1356097,41993
"Vermont",2010,625984,359402,41819
"Virginia",2010,8025787,4157658,52279
"Washington",2010,6743060,3511326,53051
"West Virginia",2010,1854225,811125,35210
"Wisconsin",2010,5690204,3081512,44296
"Wyoming",2010,564516,303297,64625
"Alabama",2011,4801108,2202670,36448
"Arizona",2011,6468732,3037017,38442
"Arkansas",2011,2938538,1362682,35867
"California",2011,37700034,18415100,51936
"Colorado",2011,5119480,2736079,50069
